"Sudoku","ConflictsBefore","ConflictsAfter","Difference","NumAddedClauses"
"sud744",13447,10427,-3020,2
"sud745",0,2,2,2
"sud746",706,712,6,6
"sud747",1593,10625,9032,7
"sud749",0,0,0,0
"sud75",17410,4144,-13266,6
"sud751",181,245,64,17
"sud753",55,65,10,10
"sud754",80,35,-45,1
"sud756",39,43,4,4
"sud758",0,6,6,6
"sud76",368,370,2,2
"sud760",15,16,1,1
"sud761",3,5,2,2
"sud762",9,13,4,7
"sud765",0,4,4,4
"sud766",0,3,3,3
"sud767",0,6,6,6
"sud768",265,270,5,5
"sud769",0,4,4,4
"sud77",0,0,0,0
"sud770",785,1688,903,6
"sud772",0,5,5,5
"sud773",470,556,86,2
"sud775",0,3,3,3
"sud776",0,1,1,1
"sud777",45754,45758,4,4
"sud778",0,5,5,5
"sud779",0,2,2,2
"sud78",0,4,4,4
"sud781",46856,19859,-26997,8
"sud782",1903,2776,873,10
"sud783",4,10,6,6
"sud784",1963,1257,-706,9
"sud785",0,5,5,5
"sud788",0,0,0,0
"sud79",3,6,3,3
"sud791",0,2,2,2
"sud792",0,6,6,6
"sud793",9,12,3,3
"sud794",908,910,2,2
"sud795",6,10,4,4
"sud797",0,6,6,6
"sud798",0,8,8,8
"sud799",49,51,2,2
"sud80",19,22,3,3
"sud800",55181,21698,-33483,3
"sud802",0,8,8,8
"sud803",0,3,3,3
"sud804",0,6,6,6
"sud806",1,4,3,3
"sud807",0,2,2,2
"sud809",0,8,8,8
"sud81",0,8,8,8
"sud810",1,9,8,8
"sud812",0,7,7,7
"sud813",0,3,3,3
"sud814",3198,3097,-101,3
"sud815",0,13,13,13
"sud816",1,4,3,3
"sud818",0,6,6,6
"sud819",1407,2212,805,6
"sud82",4,6,2,2
"sud821",206,34,-172,5
"sud822",0,6,6,6
"sud823",27,35,8,8
"sud825",0,5,5,5
"sud826",3,14,11,11
"sud829",36701,23111,-13590,4
"sud83",12,16,4,4
"sud830",9284,8711,-573,5
"sud831",0,1,1,1
"sud832",0,4,4,4
"sud833",0,4,4,4
"sud835",0,9,9,9
"sud837",0,4,4,4
"sud838",1,4,3,3
"sud84",0,2,2,2
"sud842",9184,4757,-4427,1
"sud844",1,9,8,8
"sud845",8,12,4,4
"sud846",0,3,3,3
"sud847",0,6,6,6
"sud848",0,3,3,3
"sud849",12,17,5,5
"sud851",0,4,4,4
"sud852",0,0,0,0
"sud853",8,12,4,4
"sud854",0,9,9,9
"sud856",0,3,3,3
"sud857",0,2,2,2
"sud858",0,3,3,3
"sud860",394,397,3,3
"sud861",2383,2394,11,11
"sud864",0,9,9,9
"sud865",43,45,2,2
"sud866",47,56,9,1
"sud869",6,10,4,4
"sud871",258,7876,7618,8
"sud872",990,994,4,4
"sud873",986,987,1,1
"sud874",12,17,5,8
"sud875",0,3,3,3
"sud878",7,15,8,8
"sud879",1182,2413,1231,3
"sud88",0,4,4,4
"sud881",15,22,7,7
"sud883",23,30,7,7
"sud885",2353,4531,2178,3
"sud886",0,0,0,0
"sud887",0,0,0,0
"sud889",2,5,3,3
"sud89",41,45,4,4
"sud890",0,4,4,4
"sud891",0,2,2,2
"sud892",0,1,1,1
"sud893",0,6,6,6
"sud894",0,1,1,1
"sud895",1,2,1,1
"sud896",298,299,1,1
"sud897",11,17,6,6
"sud899",7,11,4,4
"sud90",10478,17158,6680,3
"sud900",0,2,2,2
"sud901",4,7,3,3
"sud902",7,8,1,1
"sud905",28,32,4,4
"sud906",0,0,0,0
"sud907",0,8,8,8
"sud908",2,5,3,3
"sud909",17,22,5,5
"sud910",0,0,0,0
"sud911",0,12,12,12
"sud912",4,13,9,9
"sud914",129,134,5,5
"sud917",26,30,4,4
"sud918",905,576,-329,3
"sud919",0,7,7,7
"sud92",125,126,1,1
"sud920",75,60,-15,4
"sud921",5792,5794,2,2
"sud922",8,10,2,2
"sud923",3,10,7,7
"sud924",0,2,2,2
"sud927",1,11,10,10
"sud928",0,5,5,5
